Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
AUE,8670,,Mears Michael L (0926-CECAS),21, 57.14,33.33,9.52,0,0,0,0,0,0,0
AUE,8800,,Kivett Dee Ann Wood (0926-CECAS),71, 100.00,0,0,0,0,0,0,0,0,0
AUE,8810,,Schmueser David William (0926-CECAS),71, 63.38,36.62,0,0,0,0,0,0,0,0
AUE,8830,,Prucka Robert G (0926-CECAS),24, 100.00,0,0,0,0,0,0,0,0,0
AUE,8870,,Ayalew Beshah  (0926-CECAS),37, 54.05,45.95,0,0,0,0,0,0,0,0
AUE,8900,,Jia Yunyi  (0926-CECAS),1, #,#,#,#,#,#,#,#,#,#
AUE,8930,,Abu-Farha Fadi Kamal (0926-CECAS),18, 55.56,33.33,11.11,0,0,0,0,0,0,0
AUE,8930,,Filipi Zoran  (0926-CECAS),11, 54.55,36.36,9.09,0,0,0,0,0,0,0
AUE,8930,,Mino Michael George (1315-CBUS),33, 84.85,15.15,0,0,0,0,0,0,0,0
AUE,8930,,Schmueser David William (0926-CECAS),25, 68.00,28.00,0,0,0,4.00,0,0,0,0
AUE,8950,,Jia Yunyi  (0926-CECAS),1, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Abu-Farha Fadi Kamal (0926-CECAS),3, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Ayalew Beshah  (0926-CECAS),7, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Brooks Johnell O (0926-CECAS),2, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Filipi Zoran  (0926-CECAS),2, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Hoffman Mark A (0926-CECAS),2, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Ivanco Andrej  (0926-CECAS),1, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Jia Yunyi  (0926-CECAS),5, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Krovi Venkat Narayan (0926-CECAS),3, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Mears Michael L (0926-CECAS),4, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Pilla Srikanth  (0926-CECAS),7, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Pisu Pierluigi  (0926-CECAS),3, #,#,#,#,#,#,#,#,#,#
AUE,9910,,Prucka Robert G (0926-CECAS),4, #,#,#,#,#,#,#,#,#,#
""
CHE,1990,,Blenner Mark Alan (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,1990,,Kitchens Christopher L (0909-CECAS),2, #,#,#,#,#,#,#,#,#,#
CHE,2110,,Roberts Mark E (0909-CECAS),96, 21.88,23.96,32.29,6.25,6.25,9.38,0,0,0,0
CHE,2990,,Davis Eric Mikel (0909-CECAS),3, #,#,#,#,#,#,#,#,#,#
CHE,2990,,Kitchens Christopher L (0909-CECAS),9, #,#,#,#,#,#,#,#,#,#
CHE,2990,,Sarupria Sapna  (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,3000,H,Getman Rachel B (0909-CECAS),9, #,#,#,#,#,#,#,#,#,#
CHE,3210,,Sarupria Sapna  (0909-CECAS),84, 13.10,20.24,35.71,27.38,3.57,0,0,0,0,0
CHE,3300,,Thies Mark C (0909-CECAS),81, 16.05,19.75,39.51,12.35,11.11,1.23,0,0,0,0
CHE,3950,H,Sarupria Sapna  (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,3990,,Birtwistle Marc Russel (0909-CECAS),4, #,#,#,#,#,#,#,#,#,#
CHE,3990,,Blenner Mark Alan (0909-CECAS),11, 100.00,0,0,0,0,0,0,0,0,0
CHE,3990,,Kitchens Christopher L (0909-CECAS),3, #,#,#,#,#,#,#,#,#,#
CHE,3990,,Norfolk Christopher W (0909-CECAS),3, #,#,#,#,#,#,#,#,#,#
CHE,3990,,Roberts Mark E (0909-CECAS),6, #,#,#,#,#,#,#,#,#,#
CHE,3990,,Sarupria Sapna  (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,3990,,Thies Mark C (0909-CECAS),3, #,#,#,#,#,#,#,#,#,#
CHE,4070,,Norfolk Christopher W (0909-CECAS),69, 15.94,71.01,11.59,0,0,0,1.45,0,0,0
CHE,4130,,Ogale Amod A (0909-CECAS),4, #,#,#,#,#,#,#,#,#,#
CHE,4140,,Kitchens Christopher L (0909-CECAS),25, 48.00,44.00,8.00,0,0,0,0,0,0,0
CHE,4310,,Bruce David A (0909-CECAS),72, 25.00,47.22,27.78,0,0,0,0,0,0,0
CHE,4430,,Husson Scott M (0909-CECAS),72, 0,0,0,0,0,0,0,0,100.00,0
CHE,4500,,Getman Rachel B (0909-CECAS),70, 18.57,27.14,38.57,14.29,1.43,0,0,0,0,0
CHE,4910,,Getman Rachel B (0909-CECAS),3, #,#,#,#,#,#,#,#,#,#
CHE,4910,,Kitchens Christopher L (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,4910,,Scott Joseph K (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,4950,H,Davis Eric Mikel (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,4950,H,Sarupria Sapna  (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,4950,H,Thies Mark C (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,4990,,Getman Rachel B (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,4990,,Husson Scott M (0909-CECAS),2, #,#,#,#,#,#,#,#,#,#
CHE,4990,,Sarupria Sapna  (0909-CECAS),2, #,#,#,#,#,#,#,#,#,#
CHE,4990,,Thies Mark C (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,6130,,Ogale Amod A (0909-CECAS),5, #,#,#,#,#,#,#,#,#,#
CHE,6140,,Kitchens Christopher L (0909-CECAS),3, #,#,#,#,#,#,#,#,#,#
CHE,8030,,Davis Eric Mikel (0909-CECAS),13, 61.54,30.77,7.69,0,0,0,0,0,0,0
CHE,8040,,Scott Joseph K (0909-CECAS),14, 42.86,42.86,14.29,0,0,0,0,0,0,0
CHE,8050,,Blenner Mark Alan (0909-CECAS),14, 64.29,35.71,0,0,0,0,0,0,0,0
CHE,8450,,Blenner Mark Alan (0909-CECAS),7, #,#,#,#,#,#,#,#,#,#
CHE,8910,,Ogale Amod A (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
CHE,8910,,Roberts Mark E (0909-CECAS),2, #,#,#,#,#,#,#,#,#,#
