Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
MICR,6560,,Milhous Wilbur Kearse (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,8040,,Rice Charles D (0314-CSCI),4, #,#,#,#,#,#,#,#,#,#
MICR,8910,,Campbell Barbara J (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,8910,,Dou Zhicheng  (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
MICR,8910,,Richards Vincent Paul (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
MICR,8910,,Tzeng Tzuen-Rong Jeremy (0314-CSCI),5, #,#,#,#,#,#,#,#,#,#
MICR,9910,,Campbell Barbara J (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
MICR,9910,,Cao Min  (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
MICR,9910,,Kurtz Harry D. (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
MICR,9910,,Tzeng Tzuen-Rong Jeremy (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
""
CH,1010,,Cox Princess MyCia (0973-CSCI),232, 22.84,33.62,23.28,11.21,4.31,4.31,0.43,0,0,0
CH,1010,,Ennis Elliot  (0973-CSCI),237, 28.69,30.80,20.68,8.02,3.80,8.02,0,0,0,0
CH,1010,,Geiculescu Olt E (0973-CSCI),119, 20.17,38.66,24.37,8.40,3.36,5.04,0,0,0,0
CH,1010,,Gloor Brian E (0973-CSCI),33, 21.21,39.39,24.24,12.12,0,3.03,0,0,0,0
CH,1010,,Hickman Thomas D (0973-CSCI),114, 14.91,37.72,21.05,16.67,4.39,5.26,0,0,0,0
CH,1010,,Houjeiry Tania Issa (0973-CSCI),236, 33.05,33.47,17.37,5.51,4.24,6.36,0,0,0,0
CH,1010,,Hwu Shiou-jyh  (0973-CSCI),31, 25.81,35.48,12.90,16.13,6.45,3.23,0,0,0,0
CH,1010,,Lanni Laura M (0973-CSCI),238, 21.85,34.87,26.05,10.08,3.36,3.78,0,0,0,0
CH,1010,,McWhorter William Wesley (0973-CSCI),345, 20.29,26.96,22.90,13.91,6.09,9.57,0.29,0,0,0
CH,1010,,Schroeder Jacob D (0973-CSCI),120, 20.00,42.50,21.67,10.83,1.67,2.50,0.83,0,0,0
CH,1010,,Taylor Dennis F (0973-CSCI),350, 22.86,36.00,22.86,10.29,3.71,4.29,0,0,0,0
CH,1010,H,Pennington William T (0973-CSCI),51, 68.63,19.61,11.76,0,0,0,0,0,0,0
CH,1010,H,Thrasher Joseph Stuart (0973-CSCI),41, 68.29,19.51,9.76,2.44,0,0,0,0,0,0
CH,1020,,Schvaneveldt Stephen Jon (0973-CSCI),418, 27.75,21.05,27.03,11.96,4.78,7.42,0,0,0,0
CH,1050,,Geiculescu Olt E (0973-CSCI),149, 34.23,48.32,9.40,3.36,2.68,1.34,0.67,0,0,0
CH,2010,,Hickman Thomas D (0973-CSCI),183, 24.59,39.34,20.22,9.84,3.83,2.19,0,0,0,0
CH,2020,,Plampin James Nelson (0973-CSCI),160, 79.38,15.63,0,0,0,5.00,0,0,0,0
CH,2230,,Ennis Elliot  (0973-CSCI),111, 28.83,39.64,15.32,7.21,5.41,3.60,0,0,0,0
CH,2230,,Houjeiry Tania Issa (0973-CSCI),113, 33.63,37.17,16.81,4.42,2.65,5.31,0,0,0,0
CH,2230,,Lanni Laura M (0973-CSCI),110, 19.09,42.73,17.27,6.36,3.64,10.91,0,0,0,0
