Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
ECON,9910,,Jerzmanowski Michal Maria (1309-CBUS),2, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Lam Chungsang  (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Lewis Matthew S (1309-CBUS),4, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Mityakov Sergey Vladimirovich (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Simon Curtis J (1309-CBUS),11, 0,0,0,0,0,0,0,0,100.00,0
ECON,9910,,Tamura Robert F (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Templeton Scott R. (1309-CBUS),2, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Warren Patrick L (1309-CBUS),5, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Wilson Paul Wayne (1309-CBUS),3, #,#,#,#,#,#,#,#,#,#
""
FIN,2010,,Harris Joshua W (1323-CBUS),341, 77.71,14.37,3.23,1.17,1.76,1.76,0,0,0,0
FIN,3040,,McMillan Kerri D (1323-CBUS),40, 17.50,37.50,32.50,5.00,7.50,0,0,0,0,0
FIN,3050,,Alexander John C (1323-CBUS),36, 13.89,19.44,33.33,13.89,8.33,11.11,0,0,0,0
FIN,3050,,McMillan Kerri D (1323-CBUS),87, 19.54,31.03,32.18,11.49,3.45,2.30,0,0,0,0
FIN,3060,,Franklin Ramon Tolbert (1323-CBUS),213, 14.08,20.66,31.92,19.25,5.16,7.04,1.88,0,0,0
FIN,3060,,Godbey Jonathan M (1323-CBUS),69, 17.39,42.03,23.19,7.25,5.80,4.35,0,0,0,0
FIN,3060,,Johnson William Holland (1323-CBUS),213, 24.41,16.43,19.72,13.62,16.90,8.92,0,0,0,0
FIN,3060,,Stith Melvin T (1323-CBUS),98, 24.49,18.37,22.45,25.51,4.08,2.04,3.06,0,0,0
FIN,3070,,Shen Yannan  (1323-CBUS),36, 27.78,41.67,27.78,0,2.78,0,0,0,0,0
FIN,3070,,Springer Thomas M (1323-CBUS),83, 20.48,24.10,34.94,14.46,3.61,1.20,1.20,0,0,0
FIN,3080,,Chernykh Lyudmila A (1323-CBUS),81, 24.69,49.38,23.46,1.23,0,1.23,0,0,0,0
FIN,3080,,Greene Daniel Thomas (1323-CBUS),42, 38.10,38.10,16.67,4.76,2.38,0,0,0,0,0
